product_code,product_name,category
P01,Atliq_Masoor_Dal (1KG),Grocery & Staples
P02,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples
P03,Atliq_Suflower_Oil (1L),Grocery & Staples
P04,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples
P05,Atliq_Scrub_Sponge_For_Dishwash,Home Care
P06,Atliq_Fusion_Container_Set_of_3,Home Care
P09,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care
P10,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care
P13,Atliq_High_Glo_15W_LED_Bulb,Home Appliances
P14,Atliq_waterproof_Immersion_Rod,Home Appliances
P11,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care
P12,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care
P07,Atliq_Curtains,Home Care
P08,Atliq_Double_Bedsheet_set,Home Care
P15,Atliq_Home_Essential_8_Product_Combo,Combo1
