event_id,store_id,campaign_id,product_code,Category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
7f650b,STCBE-2,CAMP_SAN_01,P11,Personal Care,190,50% OFF,34,52,"? 6,460","? 4,940","-? 1,520",-24%,18,53%
a21f91,STBLR-8,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,393,322,"? 61,308","? 37,674","-? 23,634",-39%,-71,-18%
78bc80,STVJD-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,22,85,"? 6,600","? 25,500","? 18,900",286%,148,673%
a1503f,STCBE-1,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,329,1000,"? 9,87,000","? 25,00,000","? 15,13,000",153%,671,204%
1091cf,STBLR-6,CAMP_DIW_01,P05,Home Care,55,25% OFF,108,93,"? 5,940","? 3,836","-? 2,104",-35%,-15,-14%
8.02E+96,STBLR-4,CAMP_DIW_01,P11,Personal Care,190,50% OFF,91,116,"? 17,290","? 11,020","-? 6,270",-36%,25,27%
73d86f,STVSK-2,CAMP_SAN_01,P10,Personal Care,50,25% OFF,31,26,"? 1,550",? 975,-? 575,-37%,-5,-16%
fe3560,STHYD-4,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,73,245,"? 25,550","? 85,750","? 60,200",236%,417,571%
6b2afc,STCBE-4,CAMP_SAN_01,P08,Home Care,1190,BOGOF,30,79,"? 35,700","? 94,010","? 58,310",163%,128,427%
ce5851,STMDU-2,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,318,1265,"? 63,600","? 2,53,000","? 1,89,400",298%,2212,696%
dd6685,STMYS-2,CAMP_DIW_01,P06,Home Care,415,25% OFF,78,70,"? 32,370","? 21,788","-? 10,583",-33%,-8,-10%
8f25a6,STHYD-6,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,126,302,"? 3,78,000","? 7,55,000","? 3,77,000",100%,176,140%
5c3c33,STCHE-6,CAMP_DIW_01,P12,Personal Care,62,50% OFF,154,207,"? 9,548","? 6,417","-? 3,131",-33%,53,34%
d290a1,STBLR-3,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,343,270,"? 99,470","? 58,725","-? 40,745",-41%,-73,-21%
635862,STVSK-4,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,348,480,"? 2,99,280","? 2,76,576","-? 22,704",-8%,132,38%
c0ecb5,STCHE-2,CAMP_SAN_01,P07,Home Care,300,BOGOF,43,167,"? 12,900","? 50,100","? 37,200",288%,291,677%
182caa,STCHE-5,CAMP_SAN_01,P06,Home Care,415,25% OFF,39,33,"? 16,185","? 10,271","-? 5,914",-37%,-6,-15%
c4db5b,STTRV-0,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,164,236,"? 28,208","? 27,197","-? 1,011",-4%,72,44%
94f48c,STVSK-1,CAMP_SAN_01,P06,Home Care,415,25% OFF,22,16,"? 9,130","? 4,980","-? 4,150",-45%,-6,-27%
7ef92f,STHYD-5,CAMP_SAN_01,P07,Home Care,300,BOGOF,55,213,"? 16,500","? 63,900","? 47,400",287%,371,675%
0f422c,STBLR-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,42,168,"? 42,840","? 1,71,360","? 1,28,520",300%,294,700%
1e9a06,STCHE-4,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,84,338,"? 29,400","? 1,18,300","? 88,900",302%,592,705%
02ebe9,STBLR-8,CAMP_DIW_01,P11,Personal Care,190,50% OFF,66,88,"? 12,540","? 8,360","-? 4,180",-33%,22,33%
260ff2,STMYS-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,204,291,"? 35,088","? 33,535","-? 1,553",-4%,87,43%
7fc923,STTRV-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,19,74,"? 22,610","? 88,060","? 65,450",289%,129,679%
b08c12,STMDU-3,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,227,202,"? 35,412","? 23,634","-? 11,778",-33%,-25,-11%
ca7298,STCBE-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,85,228,"? 2,55,000","? 5,70,000","? 3,15,000",124%,143,168%
bf33ae,STMYS-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,59,182,"? 60,180","? 1,85,640","? 1,25,460",208%,305,517%
35fb5b,STCBE-2,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,50,190,"? 17,500","? 66,500","? 49,000",280%,330,660%
def6ff,STMDU-0,CAMP_DIW_01,P11,Personal Care,190,50% OFF,70,89,"? 13,300","? 8,455","-? 4,845",-36%,19,27%
2f3e5d,STCHE-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,333,402,"? 57,276","? 46,326","-? 10,950",-19%,69,21%
ca3893,STMYS-1,CAMP_SAN_01,P09,Personal Care,90,25% OFF,52,39,"? 4,680","? 2,633","-? 2,048",-44%,-13,-25%
922e6a,STBLR-8,CAMP_SAN_01,P05,Home Care,55,25% OFF,34,24,"? 1,870",? 990,-? 880,-47%,-10,-29%
4f0587,STMDU-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,33,136,"? 39,270","? 1,61,840","? 1,22,570",312%,239,724%
fa5b45,STVJD-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,27,109,"? 32,130","? 1,29,710","? 97,580",304%,191,707%
df45ee,STHYD-3,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,309,534,"? 53,148","? 61,538","? 8,390",16%,225,73%
f3ac85,STBLR-5,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,348,1350,"? 69,600","? 2,70,000","? 2,00,400",288%,2352,676%
292ca5,STHYD-2,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,287,220,"? 83,230","? 47,850","-? 35,380",-43%,-67,-23%
620715,STMYS-3,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,340,1485,"? 68,000","? 2,97,000","? 2,29,000",337%,2630,774%
7e9777,STVJD-1,CAMP_DIW_01,P08,Home Care,1190,BOGOF,24,82,"? 28,560","? 97,580","? 69,020",242%,140,583%
761785,STBLR-4,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,121,474,"? 1,23,420","? 4,83,480","? 3,60,060",292%,827,683%
eb3bea,STVSK-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,109,238,"? 3,27,000","? 5,95,000","? 2,68,000",82%,129,118%
276150,STCBE-3,CAMP_SAN_01,P07,Home Care,300,BOGOF,33,128,"? 9,900","? 38,400","? 28,500",288%,223,676%
3beb46,STMYS-2,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,81,208,"? 28,350","? 72,800","? 44,450",157%,335,414%
47af00,STVJD-1,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,183,150,"? 28,548","? 17,550","-? 10,998",-39%,-33,-18%
