event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,6460,4940,-1520,-24%,18,53%
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,61308,37674,-23634,-39%,-71,-18%
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,6600,25500,18900,286%,148,673%
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,987000,2500000,1513000,153%,671,204%
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,5940,3836.25,-2103.75,-35%,-15,-14%
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,17290,11020,-6270,-36%,25,27%
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,975,-575,-37%,-5,-16%
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,25550,85750,60200,236%,417,571%
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,35700,94010,58310,163%,128,427%
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,63600,253000,189400,298%,2212,696%
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,32370,21787.5,-10582.5,-33%,-8,-10%
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,378000,755000,377000,100%,176,140%
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,9548,6417,-3131,-33%,53,34%
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,99470,58725,-40745,-41%,-73,-21%
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,299280,276576,-22704,-8%,132,38%
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,12900,50100,37200,288%,291,677%
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,16185,10271.25,-5913.75,-37%,-6,-15%
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,28208,27196.64,-1011.36,-4%,72,44%
